תז,שם פרטי,שם משפחה,אימייל,ססמא,מספר טלפון,תפקיד,חוג לימודים,שפת אם,האם יש לקויות למידה,שנת לימוד
300839221,עלי,גבאי,ali.gabay001@afeka.ac.il,AG300839!,053-350-4657,סטודנט,הנדסת תעשייה וניהול,ערבית,כן,1
319813640,לואי,אברהם,loai.avraham002@afeka.ac.il,LA319813!,054-132-1488,סטודנט,הנדסת חשמל,ערבית,לא,1
318832259,מייסם,לוי,maisam.levi003@afeka.ac.il,ML318832!,052-833-9928,סטודנט,הנדסת תוכנה,עברית,לא,2
325461350,ליאור,כהן,lior.cohen004@afeka.ac.il,LC325461!,052-814-7924,סטודנט,מדעי הנתונים,עברית,לא,2
303112034,רועי,דוד,roi.david005@afeka.ac.il,RD303112!,054-199-6881,סטודנט,הנדסה מכנית,עברית,לא,2
317992829,תמר,מנסור,tamar.mansour006@afeka.ac.il,TM317992!,050-487-2291,סטודנט,הנדסה רפואית,עברית,לא,1
319372723,נור,ח'טיב,noor.khatib007@afeka.ac.il,NK319372!,052-821-2139,סטודנט,הנדסת מערכות מידע,ערבית,לא,1
328699700,מיכל,אברהם,michal.avraham008@afeka.ac.il,MA328699!,052-987-2654,סטודנט,מדעי המחשב,עברית,לא,1
312421212,יובל,חדד,yuval.hadad009@afeka.ac.il,YH312421!,053-314-5374,סטודנט,הנדסת תעשייה וניהול,עברית,לא,1
317922760,יעל,חדד,yael.hadad010@afeka.ac.il,YH317922!,052-267-8573,סטודנט,הנדסת חשמל,עברית,לא,2
322971842,עלי,שפירא,ali.shapira011@afeka.ac.il,AS322971!,053-963-1916,סטודנט,הנדסת תוכנה,עברית,כן,1
308983893,עידו,ג'מאל,ido.jamal012@afeka.ac.il,IJ308983!,050-316-6155,סטודנט,מדעי הנתונים,עברית,לא,2
304793975,חסן,מנסור,hassan.mansour013@afeka.ac.il,HM304793!,053-242-5040,סטודנט,הנדסה מכנית,עברית,לא,1
319580115,לואי,זועבי,loai.zoabi014@afeka.ac.il,LZ319580!,054-470-4593,סטודנט,הנדסה רפואית,עברית,כן,1
325359841,יוסף,אברהם,yosef.avraham015@afeka.ac.il,YA325359!,050-981-2796,סטודנט,הנדסת מערכות מידע,ערבית,לא,2
320012166,סלים,זועבי,salim.zoabi016@afeka.ac.il,SZ320012!,050-494-7252,סטודנט,מדעי המחשב,עברית,לא,2
322826523,שקד,כהן,shaked.cohen017@afeka.ac.il,SC322826!,050-798-9797,סטודנט,הנדסת תעשייה וניהול,עברית,לא,2
309848230,רועי,גבאי,roi.gabay018@afeka.ac.il,RG309848!,054-261-8433,סטודנט,הנדסת חשמל,ערבית,לא,2
316796882,סמי,מור,sami.mor019@afeka.ac.il,SM316796!,052-619-2743,סטודנט,הנדסת תוכנה,עברית,לא,1
320433649,עלי,חורי,ali.khoury020@afeka.ac.il,AK320433!,052-256-7126,סטודנט,מדעי הנתונים,עברית,לא,1
320097245,מוחמד,כהן,mohammad.cohen021@afeka.ac.il,MC320097!,053-600-1319,סטודנט,הנדסה מכנית,ערבית,לא,2
301943646,אייל,בר,eyal.bar022@afeka.ac.il,EB301943!,052-999-2290,סטודנט,הנדסה רפואית,ערבית,לא,1
304308102,יעל,שלום,yael.shalom023@afeka.ac.il,YS304308!,054-662-3705,סטודנט,הנדסת מערכות מידע,עברית,לא,1
318095773,הדר,רוזן,hadar.rozen024@afeka.ac.il,HR318095!,052-830-6107,סטודנט,מדעי המחשב,עברית,לא,1
317366963,יובל,דראושה,yuval.darawshe025@afeka.ac.il,YD317366!,054-223-5061,סטודנט,הנדסת תעשייה וניהול,עברית,לא,1
